,sentence_id,target_index,target_word,synset,context_before,context_after,synset_is_correct,full_sentence,len_sentence,target_word_pos,baseline_random,baseline_first,baseline_last,synonym_similarity,hypernym_similarity,hyponym_similarity,most_common_def_similarity,less_common_def_similarity,f0_synset_frequency,f1_overlapping_words,f2_synset_and_context_after,f3_synset_and_context_before,f4_synset_and_target_similarity,f5_target_and_synset_definition,f6_synset_and_sentence_similarity,f7_target_word_and_sentence_similarity,f8_synset_example_and_sentence_similarity,f9_synset_definition_and_sentence_similarity,f10_lesk_pred_and_target_similarity,model_pred
14271,brown1/tagfiles/br-d02.xml_4,19,abandoned,abandon.v.01,"When we say that a mythological mode of thought must be completely abandoned , we mean it must be",as the sole or proper means for presenting the Christian understanding of existence .,True,"When we say that a mythological mode of thought must be completely abandoned , we mean it must be abandoned as the sole or proper means for presenting the Christian understanding of existence .",193,VBN,abandon.v.02,abandon.v.02,abandoned.s.02,0.42844878000169084,0.06349172886833793,0.11162563896991112,0.2607307757359888,0.02468875855953451,0,0,0.1713571611792472,0.2503728481119757,0.5525904308967691,0.2607307757359888,0.26553130989967577,0.2744966151757082,0.6404815321913562,0.5567266150614736,0.5525904308967691,True
27848,brown1/tagfiles/br-f19.xml_29,21,removed,absent.v.01,"Related to written literature , and often remaining temporarily frozen in written form , it loses its vitality when transcribed or",from its oral existence .,False,"Related to written literature , and often remaining temporarily frozen in written form , it loses its vitality when transcribed or removed from its oral existence .",164,VBN,distant.s.04,remove.v.02,distant.s.04,0.20489543218334214,0.20444314130641095,0.08487904624968284,0.3399722265715641,0.23587791409045164,5,1,0.15136762716635538,0.28859617982640196,0.3454328063895387,0.27131595478949866,0.2961187860571699,0.33475082340100504,0.4065417730143212,0.4584900150879921,0.7408319233287665,False
11617,brown1/tagfiles/br-c02.xml_72,18,have,accept.v.02,Big Band Percussion ( SP 44002 ) seemed one of the least attractive discs - the arrangements just did n't,so much character as the others .,False,Big Band Percussion ( SP 44002 ) seemed one of the least attractive discs - the arrangements just did n't have so much character as the others .,144,VB,have.v.09,have.v.01,take.v.35,0.22225699163046142,0.15268625752582207,0.1425637831621209,0.2976118735013364,0.5473088497853392,14,0,0.21574451310995266,0.1745395495842639,0.27365635683835077,0.4477339697712919,0.2139401972443454,0.46361079784516523,0.7560587323412635,0.45377733843788115,0.23840700007184004,False
24664,brown1/tagfiles/br-e29.xml_36,18,has,accept.v.02,In the earlier years of training certain phases of the work must be covered and the synthetic problem,its use .,False,In the earlier years of training certain phases of the work must be covered and the synthetic problem has its use .,115,VBZ,get.v.03,have.v.01,take.v.35,0.07300858302795371,0.05856038595405621,0.04221766750056804,0.22191392999106513,0.27238063666698226,14,0,0.2166579040976339,0.23763625138110092,0.0815298681787784,0.18066538717240382,0.24748377156167117,0.44155825433686346,0.7463167838310284,0.446589286267366,0.049981335746601574,False
38860,brown1/tagfiles/br-j04.xml_99,7,having,accept.v.02,Spectra were obtained from a powdered sample,the shape of a right circular cylinder with a height to diameter ratio of 4 : 1 .,False,Spectra were obtained from a powdered sample having the shape of a right circular cylinder with a height to diameter ratio of 4 : 1 .,133,VBG,have.v.12,have.v.02,take.v.35,0.14521909862140045,0.10994931612164817,0.09471539038612048,0.3847078366863406,0.380898577641474,13,0,0.11700269403825966,0.1384276993371314,0.08750905337511367,0.34962519260176417,0.14135960919977494,0.3272310542786411,0.5685240058337042,0.31773395548652855,0.13550370349895044,False
46817,brown1/tagfiles/br-j11.xml_54,1,had,accept.v.02,Raymond L . Ditmars,two broods that averaged 27 inches .,False,Raymond L . Ditmars had two broods that averaged 27 inches .,60,VBD,have.v.02,have.v.02,take.v.35,0.13789380603028964,0.09773287177563952,0.0841787586759792,0.34425805220356953,0.3034181372712563,13,0,0.13427749083018017,0.08013951769644473,0.1435854077382751,0.3447016365459383,0.13747691391363512,0.3356057653488442,0.5440618972109907,0.26409308235202816,0.18074237296877657,False
6038,brown1/tagfiles/br-a14.xml_86,1,had,accept.v.02,He,a 16 .,False,He had a 16 .,13,VBD,have.v.10,have.v.02,take.v.35,0.13789380603028964,0.09773287177563952,0.0841787586759792,0.34425805220356953,0.3034181372712563,13,0,0.06990417995065981,0.19354111706330562,0.1435854077382751,0.3447016365459383,0.15467998410247874,0.4402585484666656,0.5954725159190255,0.2570411294236323,0.12139712320729878,False
4277,brown1/tagfiles/br-a12.xml_96,24,has,accept.v.02,"Texas leads in per game rushing averages , 355 yards , and passing 149 ( to Baylor 's 126 ) , but idle Baylor",the best defensive record ( 187.5 yards per game to Texas ' 189 ) .,False,"Texas leads in per game rushing averages , 355 yards , and passing 149 ( to Baylor 's 126 ) , but idle Baylor has the best defensive record ( 187.5 yards per game to Texas ' 189 ) .",181,VBZ,induce.v.02,have.v.01,take.v.35,0.07300858302795371,0.05856038595405621,0.04221766750056804,0.22191392999106513,0.27238063666698226,14,0,0.11876673316310522,0.11680631936463692,0.0815298681787784,0.18066538717240382,0.12101384015613528,0.15819879282038599,0.46791290558756926,0.1866003662747815,-0.018570383020494574,False
6818,brown1/tagfiles/br-a15.xml_50,28,had,accept.v.02,"`` You often hear people talk about team spirit and that sort of thing '' , Benington said in a conversation after the ceremonies , `` but what this team",was a little different .,False,"`` You often hear people talk about team spirit and that sort of thing '' , Benington said in a conversation after the ceremonies , `` but what this team had was a little different .",182,VBD,consume.v.02,have.v.02,take.v.35,0.13789380603028964,0.09773287177563952,0.0841787586759792,0.34425805220356953,0.3034181372712563,13,0,0.14923605395517803,0.2393176011433015,0.1435854077382751,0.3447016365459383,0.23338160563767194,0.37220663497443734,0.7305563516011127,0.42923236968235506,0.12322550440866785,False
3503,brown1/tagfiles/br-a12.xml_29,9,had,accept.v.02,"In their first three games , the Longhorns have","the ball 41 times and scored 16 times , or 40 per cent their total passing yardage in three games , 447 on 30 completions in 56 attempts , is only 22 yards short of their total passing yardage in 1959 , when they made 469 on 37 completions in 86 tries .",False,"In their first three games , the Longhorns have had the ball 41 times and scored 16 times , or 40 per cent their total passing yardage in three games , 447 on 30 completions in 56 attempts , is only 22 yards short of their total passing yardage in 1959 , when they made 469 on 37 completions in 86 tries .",305,VBD,have.v.12,have.v.02,take.v.35,0.13789380603028964,0.09773287177563952,0.0841787586759792,0.34425805220356953,0.3034181372712563,13,1,0.16692829125357753,0.1990602916045717,0.1435854077382751,0.3447016365459383,0.18113557756418067,0.3872807606901075,0.6899863137513805,0.3700272777549103,0.1670846963602317,False
36437,brown1/tagfiles/br-j02.xml_101,26,calculated,account.v.02,The radiation loss from the anode surface was computed according to **f where **f is the mean of the fourth powers of the temperatures **f and **f,analogously to equation ( 1 ) .,False,The radiation loss from the anode surface was computed according to **f where **f is the mean of the fourth powers of the temperatures **f and **f calculated analogously to equation ( 1 ) .,189,VBN,calculate.v.01,calculate.v.02,deliberate.s.01,0.28703786168171336,0.10471043364890999,0.16080257982637483,0.5196070733097138,0.21239979498870049,2,1,0.19953384025042653,0.20204966059399723,0.261887914746537,0.23191478257406892,0.22289164608406575,0.3371738736623316,0.8041475459990918,0.6484965154705122,0.6780987083694839,False
8143,brown1/tagfiles/br-b13.xml_75,4,recognized,accredit.v.01,But the firm has,"the tight dollar and the tourist 's desire to visit the `` smaller , less traveled and relatively inexpensive countries '' , and is now prepared to teach modern Greek and Portuguese through recordings .",False,"But the firm has recognized the tight dollar and the tourist 's desire to visit the `` smaller , less traveled and relatively inexpensive countries '' , and is now prepared to teach modern Greek and Portuguese through recordings .",230,VBN,recognize.v.09,recognize.v.02,recognized.s.02,0.1752952109700013,0.09894073111536938,0.11093882210067423,0.13988181497253754,0.23661997329928294,4,1,0.8720951234279236,0.14396162716246744,-0.035913281376092246,0.14238082631580348,0.8276963556966468,0.13984372211986748,0.4924115113721199,0.6434651702491665,0.45133312485443605,False
37649,brown1/tagfiles/br-j03.xml_79,33,reached,achieve.v.01,"There is a well-known relationship between probability and entropy which states that * * f , where \q is the probability that state ( i.e. , volume for an ideal gas ) could be",by chance alone .,False,"There is a well-known relationship between probability and entropy which states that * * f , where \q is the probability that state ( i.e. , volume for an ideal gas ) could be reached by chance alone .",201,VBN,reach.v.03,reach.v.02,strive.v.02,0.12368145705293775,0.1487066599016794,0.07538582020662957,0.2396625910352801,0.11913054673127722,4,0,0.1337583844636065,0.1600593199840577,0.26131087106202905,0.12686493621649297,0.17496765712868956,0.17740276208066508,0.3331270485936141,0.6353298774050773,0.6717745269746505,False
25412,brown1/tagfiles/br-f03.xml_9,13,recognized,acknowledge.v.04,"One day Maeterlinck , coming with a friend upon an event which he","as the exact pattern of a previous dream , detailed the ensuing occurrences in advance so accurately that his companion was completely mystified .",False,"One day Maeterlinck , coming with a friend upon an event which he recognized as the exact pattern of a previous dream , detailed the ensuing occurrences in advance so accurately that his companion was completely mystified .",223,VBN,spot.v.02,recognize.v.02,recognized.s.02,0.1752952109700013,0.09894073111536938,0.11093882210067423,0.13988181497253754,0.23661997329928294,6,0,0.2679618116158987,0.1831666814204206,0.45133312485443605,0.10552383447730088,0.27372550899229187,0.16348083872320893,0.6609726088587815,0.6820069439303745,0.06400077573723394,False
30484,brown1/tagfiles/br-g01.xml_37,9,acquire,acquire.v.04,"Also , among the latter a large percentage soon",the prevalent Southern attitude on most social problems .,False,"Also , among the latter a large percentage soon acquire the prevalent Southern attitude on most social problems .",113,VB,acquire.v.05,assume.v.03,develop.v.03,0.26217323978387946,0.3195860523443313,0.10618342519505962,0.12559390286165906,0.22109226914952024,3,1,0.05063941878242959,0.05973949767371293,1.0,0.10962538403988616,0.17822184228741686,0.17822184228741686,0.5497773074504402,0.7260281901801668,0.2446926959099951,False
