,sentence_id,target_index,target_word,synset,context_before,context_after,synset_is_correct,full_sentence,len_sentence,target_word_pos,baseline_random,baseline_first,baseline_last,synonym_similarity,hypernym_similarity,hyponym_similarity,most_common_def_similarity,less_common_def_similarity,f0_synset_frequency,f1_overlapping_words,f2_synset_and_context_after,f3_synset_and_context_before,f4_synset_and_target_similarity,f5_target_and_synset_definition,f6_synset_and_sentence_similarity,f7_target_word_and_sentence_similarity,f8_synset_example_and_sentence_similarity,f9_synset_definition_and_sentence_similarity,f10_lesk_pred_and_target_similarity,model_pred
14229,brown1/tagfiles/br-d02.xml_0,49,abandon,abandon.v.01,"If the content of faith is to be presented today in a form that can be `` understanded of the people '' - and this , it must not be forgotten , is one of the goals of the perennial theological task - there is no other choice but to",completely a mythological manner of representation .,True,"If the content of faith is to be presented today in a form that can be `` understanded of the people '' - and this , it must not be forgotten , is one of the goals of the perennial theological task - there is no other choice but to abandon completely a mythological manner of representation .",292,NN,vacate.v.02,wildness.n.01,abandon.v.05,0.2757759330911803,0.12109711096359635,0.24285558960661677,0.25656727204539753,0.3106212688547075,2,0,0.0892153754793195,0.1679736095939615,1.0,0.36045391600997395,0.19530659519973004,0.19530659519973004,0.49684421497432124,0.6260901626667656,0.14160088563933557,False
20346,brown1/tagfiles/br-e04.xml_19,5,bristles,abound.v.02,And although Schnabel 's pianism,"with excitement , it is meticulously faithful to Schubert 's dynamic markings and phrase indications .",True,"And although Schnabel 's pianism bristles with excitement , it is meticulously faithful to Schubert 's dynamic markings and phrase indications .",144,NNS,abound.v.02,bristle.n.02,bristle.v.04,0.229271882979135,0.13419216876973175,,0.2917019833876115,0.22645563784213157,2,0,0.14849351900465188,0.10854008968865354,0.1905810509840704,0.09998412518375824,0.1542030721445011,0.2918028902091285,0.30032264544354076,0.7276274798944324,0.6138851499243817,False
40140,brown1/tagfiles/br-j06.xml_1,21,absorbed,absorb.v.01,The photochemical exchange occurs with a quantum yield of the order of unity in the liquid phase at 65 ` using light,only by the * * f .,True,The photochemical exchange occurs with a quantum yield of the order of unity in the liquid phase at 65 ` using light absorbed only by the * * f .,145,NNS,captive.s.02,absorb.v.02,absorbed.s.02,0.15796549957996323,0.12225657018057082,0.11629110551060756,0.2751337364924619,0.348506332956487,0,0,0.10299713952824018,0.21676121685110625,0.6968179006145533,0.2751337364924619,0.23869056058899224,0.2654370640781763,0.8517053507865742,0.17950537322076807,0.09261628792420042,False
40173,brown1/tagfiles/br-j06.xml_4,17,abstraction,abstraction.n.02,It appears possible to set a lower limit of about * * f for the activation energy of the,of a chlorine atom from a carbon tetrachloride molecule by a chlorine atom to form * * f radical .,True,It appears possible to set a lower limit of about * * f for the activation energy of the abstraction of a chlorine atom from a carbon tetrachloride molecule by a chlorine atom to form * * f radical .,199,NN,abstraction.n.01,abstraction.n.02,abstraction.n.06,0.394982795345918,0.17228776553823116,0.10900460728345955,0.23471342779921078,0.2571657704503834,1,2,0.22628008852531506,0.1376042164581297,1.0,0.1336046798826638,0.24632651023415844,0.24632651023415844,0.842929427651,0.656932948185798,1.0,False
40353,brown1/tagfiles/br-j06.xml_13,34,abstraction,abstraction.n.02,We are reporting these investigations here briefly because of their relevancy to problems of the study of apparently simple exchange reactions of chlorine and because the results furnish some information on the activation energy for,of chlorine atoms from carbon tetrachloride .,True,We are reporting these investigations here briefly because of their relevancy to problems of the study of apparently simple exchange reactions of chlorine and because the results furnish some information on the activation energy for abstraction of chlorine atoms from carbon tetrachloride .,290,NN,abstraction.n.04,abstraction.n.02,abstraction.n.06,0.394982795345918,0.17228776553823116,0.10900460728345955,0.23471342779921078,0.2571657704503834,1,2,0.23145767276824136,0.14117970646377528,1.0,0.1336046798826638,0.22694536718367156,0.22694536718367156,0.6324084236641965,0.7163858682550212,0.12349212099978968,False
10134,brown1/tagfiles/br-c01.xml_53,0,Abstractions,abstraction.n.04,,and semi abstractions by Everett McNear are being exhibited by the University gallery of Notre Dame until Nov. 5 .,True,nan Abstractions and semi abstractions by Everett McNear are being exhibited by the University gallery of Notre Dame until Nov. 5 .,131,NNS,abstraction.n.01,abstraction.n.02,abstraction.n.06,0.19976529982091573,0.09865029307375758,0.029778520654545036,0.22157996099604424,0.25884875190907247,3,0,0.23805989688818047,0.12349212099978968,0.3842613321590705,0.4899167063636186,0.28866729195265206,0.3327271980725135,0.8707634843144716,0.31194640095560255,0.7335032562675206,False
2616,brown1/tagfiles/br-a11.xml_40,12,sensation,ace.n.03,"The rangy , Albany ( Cal. ) native , a surprise slugging","for the Flock last year as well as a defensive whiz , set `` improved fielding '' as his 1961 goal .",True,"The rangy , Albany ( Cal. ) native , a surprise slugging sensation for the Flock last year as well as a defensive whiz , set `` improved fielding '' as his 1961 goal .",167,NN,sensation.n.01,ace.n.03,sense.n.03,0.1797085137067175,0.15257247345147562,0.09526718163171212,0.22898208442499926,0.04681169060005284,1,0,0.17232267123672332,0.08755349656482257,0.24241087793032934,0.11069534349467756,0.15612119349574383,0.1921995861666058,0.8268355735963585,0.6533867273093408,0.1504365529859362,False
18492,brown1/tagfiles/br-e01.xml_59,52,wins,acquire.v.05,It is the one exercise that drastically influences the definition of the thighs at the hipline - that mark of the champion that sets him apart from all other bodybuilders - a criterion of muscle `` drama '' that is unforgettable to judges and audiences alike - the facet of muscular development that,prizes .,True,It is the one exercise that drastically influences the definition of the thighs at the hipline - that mark of the champion that sets him apart from all other bodybuilders - a criterion of muscle `` drama '' that is unforgettable to judges and audiences alike - the facet of muscular development that wins prizes .,313,NNS,succeed.v.01,winnings.n.01,succeed.v.01,0.15321864588456405,0.2781246720211469,0.11986328583663519,0.2426138284057737,0.26194569063923057,3,0,0.006310172250683895,0.044657522400169375,0.052767116665453875,0.4283421601405407,0.04526801581463815,0.2283161225222717,0.7161951369023914,0.5079353777701735,0.7579836821649102,False
9447,brown1/tagfiles/br-b20.xml_73,3,bitter,acrimonious.s.01,In all the,"in-fighting , the squabbles over election procedures , the complicated numbers game that East and West played on the assistant secretaries ' theme , the gentleman from Burma showed himself both as a man of principle and a skilled diplomat .",True,"In all the bitter in-fighting , the squabbles over election procedures , the complicated numbers game that East and West played on the assistant secretaries ' theme , the gentleman from Burma showed himself both as a man of principle and a skilled diplomat .",258,NN,acrimonious.s.01,bitter.n.02,piercingly.r.01,0.23801021656030338,0.08942974518829082,0.04312340136063527,0.19789265736130995,0.1243964829460605,4,0,0.7762235779525083,0.08661948443976643,0.04312340136063526,0.32600749681790564,0.7258764087545325,0.2699404681614314,0.6651731760214692,0.6051292865309084,0.577790825432421,False
10617,brown1/tagfiles/br-c01.xml_106,4,broader,across-the-board.s.01,Though his character is,"and more comically rounded than the don , he gives it a firmness and toughness - a sort of peasant dignity - too .",True,"Though his character is broader and more comically rounded than the don , he gives it a firmness and toughness - a sort of peasant dignity - too .",146,NN,broad.s.04,across-the-board.s.01,broad.s.08,0.20526762799673504,,,0.24695670362217972,0.17244832115217737,1,1,0.8493830968272938,0.1376413375388034,0.14769051394439955,0.3046325225556732,0.7872440871417351,0.32110520104117807,0.5692816731797387,0.8421694240868312,0.3469118187488076,False
1449,brown1/tagfiles/br-a02.xml_31,2,acts,act.n.02,One validated,of school districts .,True,One validated acts of school districts .,40,NNS,act.n.01,act.n.01,act.v.10,0.17759662597857462,0.18014285552123663,0.10869876361144117,0.2017742200979338,0.3496430339108477,2,0,0.08245142784842135,0.12433692930246026,0.6845740759726606,0.276074911881284,0.3062905889525873,0.41433419336278543,0.6949982515440518,0.5345804860471054,0.14076333304347066,False
17022,brown1/tagfiles/br-d04.xml_43,2,act,act.n.02,With this,"of disobedience , and not with the inception of his individual existence , man began the downward circuit on the spiral of history , descending from the created capacity for immortality to an inescapable mortality .",True,"With this act of disobedience , and not with the inception of his individual existence , man began the downward circuit on the spiral of history , descending from the created capacity for immortality to an inescapable mortality .",229,NN,work.v.03,act.n.02,act.v.10,0.2261212371686571,0.20388922595189915,0.1229573637747678,0.2441904600380801,0.37717215346684213,1,1,0.259690404256636,0.15816887725981796,1.0,0.3621630174566024,0.31597468045682925,0.31597468045682925,0.6699362808801292,0.6352321443291747,0.27059235848788044,False
12186,brown1/tagfiles/br-c04.xml_36,22,act,act.n.03,"Wallace Gray has directed a difficult play here , usually well , but with just a bit too much physical movement in the first",for my taste .,True,"Wallace Gray has directed a difficult play here , usually well , but with just a bit too much physical movement in the first act for my taste .",143,NN,act.v.08,act.n.02,act.v.10,0.2261212371686571,0.20388922595189915,0.1229573637747678,0.2441904600380801,0.37717215346684213,2,2,0.16775828546090701,0.22265362412375198,1.0,0.2872958580568398,0.29438049340800176,0.29438049340800176,0.5956866305452053,0.6983169984804009,1.0,False
12108,brown1/tagfiles/br-c04.xml_31,5,act,act.n.03,There is a fine second,", as an example , one in which Samuel Groom , as Dillon , has an opportunity to blaze away in one impassioned passage after another .",True,"There is a fine second act , as an example , one in which Samuel Groom , as Dillon , has an opportunity to blaze away in one impassioned passage after another .",160,NN,act.n.05,act.n.02,act.v.10,0.2261212371686571,0.20388922595189915,0.1229573637747678,0.2441904600380801,0.37717215346684213,2,1,0.2524329715662204,0.17497653741932037,1.0,0.2872958580568398,0.31354533047227046,0.31354533047227046,0.6921543320682649,0.7106399116290678,0.27059235848788044,False
12258,brown1/tagfiles/br-c04.xml_43,12,Act,act.n.03,So the audience last night was all ears and eyes just after,"2 , got a rousing opening chorus , `` Where's Charley ? ''",True,"So the audience last night was all ears and eyes just after Act 2 , got a rousing opening chorus , `` Where's Charley ? ''",122,NNP,act.v.02,act.n.02,act.v.10,0.09225837924569606,0.07295607397116056,0.05974544334643508,0.2441904600380801,0.37717215346684213,2,1,0.11926393085941807,0.25992227671510365,0.334504244002492,0.2872958580568398,0.28541351451475117,0.28541351451475117,0.7718564040632551,0.7260377795112833,1.0,False
31887,brown1/tagfiles/br-g11.xml_54,23,act,act.v.01,"If an automobile were approaching him , he would know what was required of him , even though he might not be able to",quickly enough .,True,"If an automobile were approaching him , he would know what was required of him , even though he might not be able to act quickly enough .",137,NN,act.v.10,act.n.02,act.v.10,0.2261212371686571,0.20388922595189915,0.1229573637747678,0.2441904600380801,0.37717215346684213,5,1,0.25168951922020233,0.297062265591714,1.0,0.35301573142119613,0.3659146670603824,0.3659146670603824,0.6865298683533596,0.7090762431388867,1.0,False
39723,brown1/tagfiles/br-j05.xml_55,8,acts,act.v.01,The detergent active is that substance which primarily,to remove greasy soils .,True,The detergent active is that substance which primarily acts to remove greasy soils .,84,NNS,act.v.10,act.n.01,act.v.10,0.17759662597857462,0.18014285552123663,0.10869876361144117,0.2017742200979338,0.3496430339108477,6,0,0.13866792966892763,0.25619539705975763,0.6845740759726606,0.3394761079057044,0.3519831908636226,0.396503352428272,0.45871011154943236,0.6440193432101887,0.6845740759726606,False
8682,brown1/tagfiles/br-b13.xml_128,14,act,act.v.02,Substitute approved objects for forbidden ones and keep telling him how he is to,.,True,Substitute approved objects for forbidden ones and keep telling him how he is to act .,86,NN,act.v.10,act.n.02,act.v.10,0.2261212371686571,0.20388922595189915,0.1229573637747678,0.2441904600380801,0.37717215346684213,6,0,0.07264435038066357,0.308548374090122,1.0,0.32470851420466784,0.4245933685780968,0.4245933685780968,0.6476087448791127,0.7504185384896834,1.0,False
10956,brown1/tagfiles/br-c02.xml_17,2,played,act.v.05,( He,host at the Timex show already mentioned . ),True,( He played host at the Timex show already mentioned . ),56,NNS,play.v.02,play.v.02,played.a.01,0.1657677073448654,0.12559981541969126,0.07950782358047591,0.3708654728945184,0.15209981125614824,7,0,0.1910787582060144,0.1689099730253285,0.20055635941331676,0.125378989332398,0.22203642054273237,0.3298950147615082,0.5655748282684481,0.7258512157617208,0.6961713915099847,False
32819,brown1/tagfiles/br-g15.xml_33,2,action,action.n.01,And the,is consistently presented with regard for this distinction .,False,And the action is consistently presented with regard for this distinction .,75,NN,action.n.06,action.n.02,carry_through.v.01,0.19059755808379,0.1709999533185378,0.11770867897437064,0.22028611092687161,0.2716433482167073,0,0,0.2247451253812945,0.2392498671361177,0.9999999999999998,0.22028611092687161,0.4015833676754636,0.4015833676754636,0.6147725674191928,0.6687395250736775,0.1309827110223776,True
40120,brown1/tagfiles/br-j05.xml_83,53,actions,action.n.01,"In the over-all process , it is difficult to assign a `` pure '' role to each constituent of a built detergent formulation ; and , indeed , there is no more reason to separate the interrelated roles of the active , builder , antiredeposition agent , etc. than there is to assign individual",to each of the numerous isomers making up a given commercial organic active .,False,"In the over-all process , it is difficult to assign a `` pure '' role to each constituent of a built detergent formulation ; and , indeed , there is no more reason to separate the interrelated roles of the active , builder , antiredeposition agent , etc. than there is to assign individual actions to each of the numerous isomers making up a given commercial organic active .",375,NNS,military_action.n.01,action.n.02,carry_through.v.01,0.19588419041430077,0.17754856463060276,0.13431666171357165,0.25261294753356284,0.23123474972372204,0,1,0.21961212645861658,0.22987323270938634,0.5283174450119766,0.25261294753356284,0.24612694078187186,0.2922218805919801,0.778893666291839,0.8214753087583608,0.15877942953704163,True
40013,brown1/tagfiles/br-j05.xml_76,9,action,action.n.01,This hypothesis is evolved in analogy to the demonstrated,of organic actives in detergency .,False,This hypothesis is evolved in analogy to the demonstrated action of organic actives in detergency .,99,NN,action.n.07,action.n.02,carry_through.v.01,0.19059755808379,0.1709999533185378,0.11770867897437064,0.22028611092687161,0.2716433482167073,0,1,0.15573117369545306,0.20105002191675095,0.9999999999999998,0.22028611092687161,0.3430200087373071,0.3430200087373071,0.6427874106430996,0.6616114406895423,0.1309827110223776,True
44631,brown1/tagfiles/br-j09.xml_69,10,activity,action.n.02,"Moreover , after concentration using negative pressure dialysis , agglutinin","could sometimes be detected in the region designated 2a ( donors P. J. , D. A. , and J. F. , Fig. 1 ) .",True,"Moreover , after concentration using negative pressure dialysis , agglutinin activity could sometimes be detected in the region designated 2a ( donors P. J. , D. A. , and J. F. , Fig. 1 ) .",189,NN,action.n.02,action.n.02,activeness.n.02,0.2573885631637677,0.15091980878783826,0.12583447916374454,0.3880559492749417,0.25679275947522157,1,1,0.1808960303732567,0.19745879632114002,0.2644702561892296,0.3209836188379993,0.20406354678179853,0.3007734249361223,0.6689475164985911,0.6803199733685946,0.1324397081868186,False
27551,brown1/tagfiles/br-f19.xml_4,27,actions,action.n.02,"1 ) Every age rewrites the events of its history in terms of what should have been , creating legends about itself that rationalize contemporary beliefs and excuse contemporary",.,False,"1 ) Every age rewrites the events of its history in terms of what should have been , creating legends about itself that rationalize contemporary beliefs and excuse contemporary actions .",186,NNS,action.n.01,action.n.02,carry_through.v.01,0.19588419041430077,0.17754856463060276,0.13431666171357165,0.25261294753356284,0.23123474972372204,1,2,0.1309827110223776,0.23993129706105185,0.5283174450119766,0.28803794572348235,0.2723283855884773,0.37256972106733477,0.5986703630771569,0.7278440854934051,0.5283174450119766,True
49704,brown1/tagfiles/br-j14.xml_39,3,action,action.n.02,The mechanism of,"of these drugs has not been completely worked out , but certain of them appear to act by reducing the oxidised form of iodine before it can iodinate thyroglobulin ( Astwood , 1954 ) .",True,"The mechanism of action of these drugs has not been completely worked out , but certain of them appear to act by reducing the oxidised form of iodine before it can iodinate thyroglobulin ( Astwood , 1954 ) .",207,NN,action.n.09,action.n.02,carry_through.v.01,0.19059755808379,0.1709999533185378,0.11770867897437064,0.22028611092687161,0.2716433482167073,1,2,0.2567611374422517,0.3051374931076149,0.9999999999999998,0.2706864323764631,0.31507844596541934,0.31507844596541934,0.6380772188234582,0.7289160748965213,0.1309827110223776,False
44808,brown1/tagfiles/br-j09.xml_82,12,activity,action.n.02,The serum containing the mixed type of complete and incomplete antibodies showed,in both regions ( Fig. 1 ) .,True,The serum containing the mixed type of complete and incomplete antibodies showed activity in both regions ( Fig. 1 ) .,118,NN,bodily_process.n.01,action.n.02,activeness.n.02,0.2573885631637677,0.15091980878783826,0.12583447916374454,0.3880559492749417,0.25679275947522157,1,2,0.1883616982686373,0.2142189055468223,0.2644702561892296,0.3209836188379993,0.2433589626268408,0.36480079739478266,0.6109744034642679,0.7085302150359125,0.1324397081868186,False
44601,brown1/tagfiles/br-j09.xml_66,36,activity,action.n.02,"When the early part of the gradient was flattened , either by using the gradient shown in Fig. 2 or by allowing the `` cone sphere '' gradient to become established more slowly , Region 2","could sometimes be separated into two areas ( donors P. J. and R. S. , Fig. 1 and E. M. , Fig. 2 ) .",True,"When the early part of the gradient was flattened , either by using the gradient shown in Fig. 2 or by allowing the `` cone sphere '' gradient to become established more slowly , Region 2 activity could sometimes be separated into two areas ( donors P. J. and R. S. , Fig. 1 and E. M. , Fig. 2 ) .",297,NN,natural_process.n.01,action.n.02,activeness.n.02,0.2573885631637677,0.15091980878783826,0.12583447916374454,0.3880559492749417,0.25679275947522157,1,2,0.17240509856636088,0.24615419634022434,0.2644702561892296,0.3209836188379993,0.2327598161951974,0.3085812918018765,0.6629855312696722,0.7325652413472145,0.1324397081868186,False
26427,brown1/tagfiles/br-f10.xml_0,6,action,action.n.06,Franklin D. Lee proved a man of prompt,"when Mrs. Claire Shaefer , accompanied by a friend , visited him in Bakersfield , California , several months ago as a prospective patient .",True,"Franklin D. Lee proved a man of prompt action when Mrs. Claire Shaefer , accompanied by a friend , visited him in Bakersfield , California , several months ago as a prospective patient .",186,NN,carry_through.v.01,action.n.02,carry_through.v.01,0.19059755808379,0.1709999533185378,0.11770867897437064,0.22028611092687161,0.2716433482167073,5,1,0.18522847934092948,0.18616628967618845,0.9999999999999998,0.28202760835122276,0.23970661230845303,0.23970661230845303,0.8823955502335051,0.8254159601045399,0.1309827110223776,False
44810,brown1/tagfiles/br-j09.xml_82,12,activity,activity.n.01,The serum containing the mixed type of complete and incomplete antibodies showed,in both regions ( Fig. 1 ) .,False,The serum containing the mixed type of complete and incomplete antibodies showed activity in both regions ( Fig. 1 ) .,118,NN,bodily_process.n.01,action.n.02,activeness.n.02,0.2573885631637677,0.15091980878783826,0.12583447916374454,0.3880559492749417,0.25679275947522157,0,0,0.24091803067609016,0.24490227162269043,1.0,0.3880559492749417,0.36480079739478266,0.36480079739478266,0.45801162223877306,0.5004320083361389,0.1324397081868186,True
49822,brown1/tagfiles/br-j14.xml_50,24,activity,activity.n.01,"Besides the presence of goitrogens in the diet , the level of iodine itself in the diet plays a major role in governing the",of the thyroid gland .,False,"Besides the presence of goitrogens in the diet , the level of iodine itself in the diet plays a major role in governing the activity of the thyroid gland .",155,NN,bodily_process.n.01,action.n.02,activeness.n.02,0.2573885631637677,0.15091980878783826,0.12583447916374454,0.3880559492749417,0.25679275947522157,0,0,0.20310089416306365,0.2971393950997375,1.0,0.3880559492749417,0.3541026774393757,0.3541026774393757,0.48555595243974725,0.5017720278138635,0.1324397081868186,True
49946,brown1/tagfiles/br-j14.xml_61,30,activity,activity.n.01,"At the present time we do not know by what biochemical mechanism TSH acts on the thyroid , but for bio-assay of the hormone there are a number of properties by which its","may be estimated , including release of iodine from the thyroid , increase in thyroid weight , increase in mean height of the follicular cells and increase in the thyroidal uptake of * * f .",False,"At the present time we do not know by what biochemical mechanism TSH acts on the thyroid , but for bio-assay of the hormone there are a number of properties by which its activity may be estimated , including release of iodine from the thyroid , increase in thyroid weight , increase in mean height of the follicular cells and increase in the thyroidal uptake of * * f .",369,NN,bodily_process.n.01,action.n.02,activeness.n.02,0.2573885631637677,0.15091980878783826,0.12583447916374454,0.3880559492749417,0.25679275947522157,0,0,0.291623742838369,0.3045291662061896,1.0,0.3880559492749417,0.33980464919338904,0.33980464919338904,0.5353484220440669,0.5590281979995452,0.1324397081868186,True
29085,brown1/tagfiles/br-f43.xml_28,27,players,actor.n.01,"The drama in the theater and the concert in the hall both have a fixed time , but the time is fixed by the director and the",", the conductor and the instrumentalists , subject , therefore , to much variation , as record collectors well know .",True,"The drama in the theater and the concert in the hall both have a fixed time , but the time is fixed by the director and the players , the conductor and the instrumentalists , subject , therefore , to much variation , as record collectors well know .",249,NNS,player.n.01,musician.n.01,player.n.05,0.16671329639137014,0.13114581160812905,0.08194385640170233,0.31729555564333156,0.17598117463501434,2,1,0.11265576186341555,0.12806226969568107,0.08429321505227952,0.19686492354404675,0.1329252656491746,0.28222364772223046,0.6409617692534016,0.5583357729254828,0.7190829582241743,False
44895,brown1/tagfiles/br-j10.xml_1,29,keen,acute.s.03,"Occasionally , you may come across one or two bumblebees in the cold season , when you are turning over sods in your garden , but you have to be a really",observer to see them at all .,True,"Occasionally , you may come across one or two bumblebees in the cold season , when you are turning over sods in your garden , but you have to be a really keen observer to see them at all .",188,NN,exquisite.s.01,lament.v.01,keen.s.05,0.1375346146743125,0.07306323475656143,,0.11188521847832936,0.2122985456752886,2,2,0.06704948805966582,0.13620236430021257,0.11524932161163147,0.16384350919001503,0.13125576503975991,0.22657288752149654,0.5539455419163261,0.6980565661339949,0.9999999999999998,False
32080,brown1/tagfiles/br-g11.xml_70,9,increase,addition.n.03,"In the life sciences , there has been an enormous","in our understanding of disease , in the mechanisms of heredity , and in bio - and physiological chemistry .",False,"In the life sciences , there has been an enormous increase in our understanding of disease , in the mechanisms of heredity , and in bio - and physiological chemistry .",167,NN,increase.n.02,increase.n.02,increase.v.02,0.38038689897318606,0.17807543141329163,0.18122055248147345,0.2680486894784873,0.21606753379723226,0,0,0.08572413022190126,0.1762905316516554,0.22523519151237653,0.2680486894784873,0.13668945803983637,0.2503865433046798,0.6445216282862951,0.7095667427883422,0.9999999999999999,True
41825,brown1/tagfiles/br-j07.xml_36,7,increase,addition.n.03,"On May 15 , a very large","occurred with * * f of mass between * * f and * * f ; for the next two days , the impact rate was * * f ; and for the next nine days , the impact rate was less than * * f ( Nazarova , 1960 ) .",False,"On May 15 , a very large increase occurred with * * f of mass between * * f and * * f ; for the next two days , the impact rate was * * f ; and for the next nine days , the impact rate was less than * * f ( Nazarova , 1960 ) .",226,NN,increase.n.03,increase.n.02,increase.v.02,0.38038689897318606,0.17807543141329163,0.18122055248147345,0.2680486894784873,0.21606753379723226,0,1,0.09278255766159992,0.11455330969596306,0.22523519151237653,0.2680486894784873,0.10348007326989819,0.22710090475026107,0.5956805273578832,0.6804565501074321,0.9999999999999999,True
8190,brown1/tagfiles/br-b13.xml_78,10,address,address.n.03,"As a contemporary bonus , the set includes Carl Sandburg 's","at a joint session of Congress , delivered on Lincoln 's birthday two years ago .",True,"As a contemporary bonus , the set includes Carl Sandburg 's address at a joint session of Congress , delivered on Lincoln 's birthday two years ago .",149,NN,address.n.02,address.n.02,address.v.10,0.18435797200313733,0.12023629491952435,0.10864326391839711,0.225065541430457,0.09491218285910874,2,3,0.1639508534733968,0.06425912131236637,1.0,0.250985205788957,0.19914598893072735,0.19914598893072735,0.7665930724238775,0.8049816762741835,1.0,False
44772,brown1/tagfiles/br-j09.xml_79,25,binding,adhere.v.06,"Similarly , both types of antibodies were found in three regions of the chromatographic eluate , having extremely low , low , and high anionic","capacity , respectively ( Fig. 3 ) .",True,"Similarly , both types of antibodies were found in three regions of the chromatographic eluate , having extremely low , low , and high anionic binding capacity , respectively ( Fig. 3 ) .",187,NN,ski_binding.n.01,binding.n.02,binding.s.01,0.16409404739423342,0.1344852106063647,0.10885553691424173,0.15398430099037164,0.2664215336932142,5,0,0.07942235951141569,0.1390666842694303,0.3237133391428506,0.23512499745554952,0.14499740899429617,0.25543127269115706,0.7262753973396927,0.6124400055724547,0.07005678183826868,False
16995,brown1/tagfiles/br-d04.xml_42,2,affects,affect.v.01,That parallelism,"his picture of man 's disobedience too ; for as it was Christ , the Word of God , who came to rescue man , so it was disobedience to the word of God in the beginning that brought death into the world , and all our woe .",True,"That parallelism affects his picture of man 's disobedience too ; for as it was Christ , the Word of God , who came to rescue man , so it was disobedience to the word of God in the beginning that brought death into the world , and all our woe .",244,NNS,affect.v.02,affect.v.01,affect.v.05,0.16958868543425337,0.1863931553108431,0.10993388834903797,0.32914376018394303,0.3626679959217493,1,0,0.19106267942813704,0.0854462454196939,0.7235955282543219,0.2687246060332569,0.21833717213097326,0.2433575070159886,0.6778571082041439,0.5073083226683068,0.08576202610564525,False
