,sentence_id,target_index,target_word,synset,context_before,context_after,synset_is_correct,full_sentence,len_sentence,target_word_pos,baseline_random,baseline_first,baseline_last,synonym_similarity,hypernym_similarity,hyponym_similarity,most_common_def_similarity,less_common_def_similarity,f0_synset_frequency,f1_overlapping_words,f2_synset_and_context_after,f3_synset_and_context_before,f4_synset_and_target_similarity,f5_target_and_synset_definition,f6_synset_and_sentence_similarity,f7_target_word_and_sentence_similarity,f8_synset_example_and_sentence_similarity,f9_synset_definition_and_sentence_similarity,f10_lesk_pred_and_target_similarity,model_pred
43288,brown1/tagfiles/br-j08.xml_63,7,much,a_lot.r.01,Some agents have been shown to be,more toxic or infectious to experimental animals when exposed to aerosols of optimum particle size than by the natural portal .,False,Some agents have been shown to be much more toxic or infectious to experimental animals when exposed to aerosols of optimum particle size than by the natural portal .,166,JJ,much.r.01,much.a.01,much.r.05,0.26833756882980947,0.04746623765867868,,0.4559177941518546,0.4091255710544043,4,2,0.5819721005604471,0.4022582270708553,0.04746623765867868,0.3681810375251516,0.5659031648164611,0.4454253191152751,0.616811837979373,0.7508214330393616,1.0000000000000002,False
6125,brown1/tagfiles/br-a14.xml_96,21,much,a_lot.r.01,"`` I knew it all along '' , confessed Arnold with a grin , `` but I just happened to think how",nicer it would be to drop one way up there '' .,False,"`` I knew it all along '' , confessed Arnold with a grin , `` but I just happened to think how much nicer it would be to drop one way up there '' .",147,JJ,much.r.02,much.a.01,much.r.05,0.26833756882980947,0.04746623765867868,,0.4559177941518546,0.4091255710544043,4,2,0.6087763021069073,0.7723720902616479,0.04746623765867868,0.3681810375251516,0.7267809923310731,0.4078094493618156,0.7630258255452064,0.830373362260329,1.0000000000000002,False
29998,brown1/tagfiles/br-g01.xml_3,27,much,a_lot.r.01,"The name presumably derives from the French royal house which never learned and never forgot ; since Bourbon whiskey , though of Kentucky origin , is at least as",favored by liberals in the North as by conservatives in the South .,False,"The name presumably derives from the French royal house which never learned and never forgot ; since Bourbon whiskey , though of Kentucky origin , is at least as much favored by liberals in the North as by conservatives in the South .",234,JJ,much.r.02,much.a.01,much.r.05,0.26833756882980947,0.04746623765867868,,0.4559177941518546,0.4091255710544043,4,0,0.315218433587607,0.6528343207852647,0.04746623765867868,0.3681810375251516,0.567535580051111,0.38338517314495385,0.5418424423936472,0.7332692750123947,1.0000000000000002,False
41338,brown1/tagfiles/br-j07.xml_0,47,much,a_lot.r.01,"The Poynting-Robertson effect ( Robertson , 1937 ; Wyatt and Whipple , 1950 ) , which is a retardation of the orbital motion of particles by the relativistic aberration of the repulsive force of the impinging solar radiation , causes the dust to spiral into the sun in times",shorter than the age of the Earth .,False,"The Poynting-Robertson effect ( Robertson , 1937 ; Wyatt and Whipple , 1950 ) , which is a retardation of the orbital motion of particles by the relativistic aberration of the repulsive force of the impinging solar radiation , causes the dust to spiral into the sun in times much shorter than the age of the Earth .",315,JJ,much.r.02,much.a.01,much.r.05,0.26833756882980947,0.04746623765867868,,0.4559177941518546,0.4091255710544043,4,2,0.5698154271432048,0.8667896181581274,0.04746623765867868,0.3681810375251516,0.8407808893208798,0.2547607674312426,0.5449863216528662,0.7789372196510764,1.0000000000000002,False
33740,brown1/tagfiles/br-h01.xml_25,27,most,about.r.07,SBA works closely with the principal property disposal installations of the Federal Government in reviewing proposed sales programs and identifying those types of property that small business concerns are,likely to be interested in purchasing .,False,SBA works closely with the principal property disposal installations of the Federal Government in reviewing proposed sales programs and identifying those types of property that small business concerns are most likely to be interested in purchasing .,249,JJS,about.r.07,most.a.02,about.r.07,0.2835879581872066,,,0.3132935714041357,0.3410781348128406,4,1,0.26452275092359373,0.3464541772775911,0.24084675762217753,0.3410781348128406,0.3535536687241865,0.3748390424765805,0.7187208598548268,0.7436545420578922,1.0,False
31228,brown1/tagfiles/br-g11.xml_7,25,most,about.r.07,"But it has been during the last two centuries , during the scientific revolution , that our independence from the physical environment has made the",rapid strides .,False,"But it has been during the last two centuries , during the scientific revolution , that our independence from the physical environment has made the most rapid strides .",168,JJS,most.a.02,most.a.02,about.r.07,0.2835879581872066,,,0.3132935714041357,0.3410781348128406,4,0,0.06172480558342593,0.37878897874138173,0.24084675762217753,0.3410781348128406,0.3689067355873295,0.43401864857369665,0.7484366583644585,0.6893855774111615,1.0,False
5633,brown1/tagfiles/br-a14.xml_30,22,most,about.r.07,"The 53 - year old Shea , a prominent corporation lawyer with a sports background , is generally recognized as the man",responsible for the imminent return of a National League club to New York .,False,"The 53 - year old Shea , a prominent corporation lawyer with a sports background , is generally recognized as the man most responsible for the imminent return of a National League club to New York .",198,JJS,most.a.01,most.a.02,about.r.07,0.2835879581872066,,,0.3132935714041357,0.3410781348128406,4,1,0.2360709176502169,0.26547367809077,0.24084675762217753,0.3410781348128406,0.2734204307303381,0.34277070336434523,0.7235591107787858,0.7951235744349685,1.0,False
21746,brown1/tagfiles/br-e21.xml_35,3,most,about.r.07,One of the,desirable features for a park are beautiful views or scenery .,False,One of the most desirable features for a park are beautiful views or scenery .,78,JJS,most.r.02,most.a.02,about.r.07,0.2835879581872066,,,0.3132935714041357,0.3410781348128406,4,2,0.2737476442792905,0.26969320823915705,0.24084675762217753,0.3410781348128406,0.3132840440963851,0.5270392775139355,0.6793576641737487,0.7581299859760192,1.0,False
30698,brown1/tagfiles/br-g01.xml_54,16,most,about.r.07,"And no doubt many people in states like the Carolinas and Georgia , which were among the","Tory in sentiment in the eighteenth century , bitterly regretted the revolt against the Crown .",False,"And no doubt many people in states like the Carolinas and Georgia , which were among the most Tory in sentiment in the eighteenth century , bitterly regretted the revolt against the Crown .",189,JJS,about.r.07,most.a.02,about.r.07,0.2835879581872066,,,0.3132935714041357,0.3410781348128406,4,0,0.2758931717103918,0.33799242258968076,0.24084675762217753,0.3410781348128406,0.33104570334735384,0.41156808457103883,0.7162691077542767,0.7803144315279362,1.0,False
10589,brown1/tagfiles/br-c01.xml_103,7,most,about.r.07,And the subtleties of the dialogue are,helpfully conveyed .,False,And the subtleties of the dialogue are most helpfully conveyed .,64,JJS,most.a.02,most.a.02,about.r.07,0.2835879581872066,,,0.3132935714041357,0.3410781348128406,4,1,0.15633945194977625,0.26977801125527606,0.24084675762217753,0.3410781348128406,0.2873418421804553,0.41004955465296056,0.6998607733168161,0.76472257182081,1.0,False
