,sentence_id,target_index,target_word,synset,context_before,context_after,synset_is_correct,full_sentence,len_sentence,target_word_pos,baseline_random,baseline_first,baseline_last,synonym_similarity,hypernym_similarity,hyponym_similarity,most_common_def_similarity,less_common_def_similarity,f0_synset_frequency,f1_overlapping_words,f2_synset_and_context_after,f3_synset_and_context_before,f4_synset_and_target_similarity,f5_target_and_synset_definition,f6_synset_and_sentence_similarity,f7_target_word_and_sentence_similarity,f8_synset_example_and_sentence_similarity,f9_synset_definition_and_sentence_similarity,f10_lesk_pred_and_target_similarity,model_pred
15058,brown1/tagfiles/br-d02.xml_46,19,accepted,accept.v.01,"When we say , then , that today , in our situation , the demand for demythologization must be","without condition , we are simply saying that at least this much of the liberal tradition is an enduring achievement .",False,"When we say , then , that today , in our situation , the demand for demythologization must be accepted without condition , we are simply saying that at least this much of the liberal tradition is an enduring achievement .",221,JJ,accept.v.08,accept.v.02,accepted.s.01,0.257062479796501,0.17034768426685534,0.16749243950658507,0.3271201399363778,0.37586479189823435,0,0,0.27462058951669055,0.28696247113838164,0.6786915071425225,0.3271201399363778,0.3220606702159926,0.26415213514087277,0.7795050826811697,0.6298160993312619,0.20778913563168655,True
6945,brown1/tagfiles/br-a15.xml_62,2,accepted,accept.v.02,As Hartweger,"his silver bowl , he said , `` I want to thank coach 's wife for talking him into letting me play '' .",True,"As Hartweger accepted his silver bowl , he said , `` I want to thank coach 's wife for talking him into letting me play '' .",124,JJ,accept.v.11,accept.v.02,accepted.s.01,0.257062479796501,0.17034768426685534,0.16749243950658507,0.3271201399363778,0.37586479189823435,1,0,0.2587688848485434,0.13705632121498404,0.6786915071425225,0.4868018169018329,0.3047144673878174,0.26750023126682176,0.6991296887787942,0.44055830594581896,0.20778913563168655,False
15057,brown1/tagfiles/br-d02.xml_46,19,accepted,accept.v.03,"When we say , then , that today , in our situation , the demand for demythologization must be","without condition , we are simply saying that at least this much of the liberal tradition is an enduring achievement .",True,"When we say , then , that today , in our situation , the demand for demythologization must be accepted without condition , we are simply saying that at least this much of the liberal tradition is an enduring achievement .",221,JJ,accept.v.02,accept.v.02,accepted.s.01,0.257062479796501,0.17034768426685534,0.16749243950658507,0.3271201399363778,0.37586479189823435,2,1,0.27462058951669055,0.28696247113838164,0.6786915071425225,0.23503148725314837,0.3220606702159926,0.26415213514087277,0.47038523902384843,0.6524997204426773,0.20778913563168655,False
15111,brown1/tagfiles/br-d02.xml_50,11,accepted,accept.v.03,If the demand for demythologization is unavoidable and so must be,"by theology unconditionally , the position of the `` right '' is clearly untenable .",True,"If the demand for demythologization is unavoidable and so must be accepted by theology unconditionally , the position of the `` right '' is clearly untenable .",159,JJ,accept.v.11,accept.v.02,accepted.s.01,0.257062479796501,0.17034768426685534,0.16749243950658507,0.3271201399363778,0.37586479189823435,2,0,0.24901138880361864,0.34875516649521016,0.6786915071425225,0.23503148725314837,0.3531941791260499,0.31975089354976716,0.45760949172574816,0.676282197454142,0.20778913563168655,False
43455,brown1/tagfiles/br-j08.xml_76,3,broad,across-the-board.s.01,There is a,spectrum of organisms from which selection for a specified military purpose might be made .,True,There is a broad spectrum of organisms from which selection for a specified military purpose might be made .,108,JJ,across-the-board.s.01,wide.a.01,broad.s.08,0.2519973285339288,0.0931380513331217,,0.19055081642021257,0.17553248790954512,2,1,0.6290607585087916,0.6222258997291792,0.1635370000785356,0.336397613827616,0.660947852652075,0.399814167576496,0.5328585862695021,0.7876354064487242,0.47286623856955473,False
44643,brown1/tagfiles/br-j09.xml_70,17,active,active.a.01,"Not all these regions exhibited equal agglutinating activity , as evidenced by titer and the extent of the",areas .,True,"Not all these regions exhibited equal agglutinating activity , as evidenced by titer and the extent of the active areas .",121,JJ,active.s.04,active_voice.n.01,active.a.14,0.27919663241540105,0.05998192064854682,,0.37232504852552234,0.3895781611475754,3,0,0.1283936193766642,0.23950699209632514,1.0,0.28552762261891,0.3294824295243587,0.3294824295243587,0.2797317127756942,0.6712082804279031,1.0,False
24753,brown1/tagfiles/br-e29.xml_43,11,active,active.a.03,Certainly every educator involved in interior design should be a member and,in the work of one of these organizations .,True,Certainly every educator involved in interior design should be a member and active in the work of one of these organizations .,126,JJ,active.a.06,active_voice.n.01,active.a.14,0.27919663241540105,0.05998192064854682,,0.37232504852552234,0.3895781611475754,5,0,0.24993431925501156,0.30969795745449197,1.0,0.2232556837212795,0.3879631938056738,0.3879631938056738,0.7075054410198447,0.6108264807626542,1.0,False
45981,brown1/tagfiles/br-j10.xml_85,35,active,active.a.05,"This may just be pride in my adopted State of Washington , but certainly I love to visit their mound cities near Yakima and Prosser in July or August , when the bees are in their most",period .,True,"This may just be pride in my adopted State of Washington , but certainly I love to visit their mound cities near Yakima and Prosser in July or August , when the bees are in their most active period .",199,JJ,active.a.03,active_voice.n.01,active.a.14,0.27919663241540105,0.05998192064854682,,0.37232504852552234,0.3895781611475754,7,0,0.10408986967615698,0.1721819873789042,1.0,0.3645668641095136,0.22733773880848812,0.22733773880848812,0.6204393131127665,0.336902701644252,0.06328157495180539,False
48894,brown1/tagfiles/br-j13.xml_47,10,advanced,advanced.s.01,"In contrast , for the girl the epiphysis was slightly",at Onset and delayed at Completion .,True,"In contrast , for the girl the epiphysis was slightly advanced at Onset and delayed at Completion .",99,JJ,advance.v.01,advance.v.02,advance.s.02,0.12308711276581742,0.08187231112173665,0.06932130292504464,0.17263367903981494,0.15429833569613488,12,0,0.16245763567351457,0.21279219469473135,1.0,0.23373039489417885,0.3321953597701155,0.3321953597701155,0.7106008064085793,0.5645567446188706,0.04434239906947711,False
11886,brown1/tagfiles/br-c04.xml_5,17,American,american.a.01,"The story is of a famous strip cartoonist , an arty individual , whose specialty is the",boy and who adopts a 10 - year old to provide him with fresh idea material .,True,"The story is of a famous strip cartoonist , an arty individual , whose specialty is the American boy and who adopts a 10 - year old to provide him with fresh idea material .",173,JJ,american.a.02,american_english.n.01,american.a.02,0.3650660308597112,0.06553482030134604,0.08122985891379841,0.7845738926223811,0.8305571317791381,3,3,0.8004500736520734,0.646727788360269,0.9999999999999999,0.6316115434941028,0.7967399603996493,0.7967399603996493,0.6377584703565051,0.7708173503631883,1.0,False
12240,brown1/tagfiles/br-c04.xml_42,29,American,american.a.01,"One of the finest soft shoe tunes ever invented , `` Once in Love with Amy '' is also , of course , one of the most tantalizingly persistent of light love lyrics to come out of",musical comedy in our era .,True,"One of the finest soft shoe tunes ever invented , `` Once in Love with Amy '' is also , of course , one of the most tantalizingly persistent of light love lyrics to come out of American musical comedy in our era .",213,JJ,american.a.01,american_english.n.01,american.a.02,0.3650660308597112,0.06553482030134604,0.08122985891379841,0.7845738926223811,0.8305571317791381,3,3,0.3910807565146805,0.7836877583573632,0.9999999999999999,0.6316115434941028,0.7815212921009221,0.7815212921009221,0.6169802053831797,0.7681874530800858,1.0,False
