,sentence_id,target_index,target_word,synset,context_before,context_after,synset_is_correct,full_sentence,len_sentence,target_word_pos,baseline_random,baseline_first,baseline_last,synonym_similarity,hypernym_similarity,hyponym_similarity,most_common_def_similarity,less_common_def_similarity,f0_synset_frequency,f1_overlapping_words,f2_synset_and_context_after,f3_synset_and_context_before,f4_synset_and_target_similarity,f5_target_and_synset_definition,f6_synset_and_sentence_similarity,f7_target_word_and_sentence_similarity,f8_synset_example_and_sentence_similarity,f9_synset_definition_and_sentence_similarity,f10_lesk_pred_and_target_similarity,model_pred
43949,brown1/tagfiles/br-j09.xml_16,14,suspension,abeyance.n.01,One drop of each sample was added to one drop of a 2 %,of group * * f or group B red cells in a small * * f test tube .,False,One drop of each sample was added to one drop of a 2 % suspension of group * * f or group B red cells in a small * * f test tube .,130,NN,suspension.n.04,pause.n.01,suspension.n.07,0.18236050325389347,0.10637192969313702,0.11961027098182588,0.21620294251361186,0.15879794621883048,2,2,0.11772441542721496,0.07423084056208262,0.21295257889049507,0.5866216049732896,0.11578334962722017,0.19957476929083634,0.8346046827417726,0.355556969382601,0.9999999999999998,False
28957,brown1/tagfiles/br-f43.xml_22,19,straightforward,aboveboard.s.01,"In a series of fairy tales and fantasies , Melies demonstrated that the film is superbly equipped to tell a","story , with beginning , middle and end , complications , resolutions , climaxes , and conclusions .",False,"In a series of fairy tales and fantasies , Melies demonstrated that the film is superbly equipped to tell a straightforward story , with beginning , middle and end , complications , resolutions , climaxes , and conclusions .",224,NN,straightforward.s.01,square.s.05,straightforward.s.04,0.34182411304522486,,,0.29852976317160906,0.2061138752671218,2,0,0.9172389919520675,0.8237636614712797,0.08087465654589245,0.32908531658267787,0.8947158961966523,0.23405711546027383,0.7712491885132192,0.6171060310259003,1.0000000000000002,False
49557,brown1/tagfiles/br-j14.xml_18,10,absence,absence.n.01,Similar findings have been noted in a patient with congenital,"of the organification enzymes , whose thyroid tissue could only concentrate iodide .",True,"Similar findings have been noted in a patient with congenital absence of the organification enzymes , whose thyroid tissue could only concentrate iodide .",154,NN,absence.n.04,absence.n.02,absence.n.04,0.5775601832070574,0.21278570313792028,0.1611248763802313,0.44263537240257217,0.2715824024717158,0,2,0.25122410946187274,0.24737625487448406,1.0,0.44263537240257217,0.36961935877899743,0.36961935877899743,0.7484161843967788,0.712531374420613,1.0,True
21009,brown1/tagfiles/br-e04.xml_70,1,absence,absence.n.01,This,"of peaky highs and beefed-up bass not only produces greater fidelity , but it eliminates listener fatigue .",True,"This absence of peaky highs and beefed-up bass not only produces greater fidelity , but it eliminates listener fatigue .",120,NN,absence.n.02,absence.n.02,absence.n.04,0.5775601832070574,0.21278570313792028,0.1611248763802313,0.44263537240257217,0.2715824024717158,0,1,0.27541153535148233,0.13887425943265322,1.0,0.44263537240257217,0.3764838270541799,0.3764838270541799,0.6626437616699029,0.6404906676252482,1.0,True
49373,brown1/tagfiles/br-j14.xml_0,25,absence,absence.n.02,"Interestingly enough , the effect of the digitalis glycosides is inhibited by a high concentration of potassium in the incubation medium and is enhanced by the","of potassium ( Wolff , 1960 ) .",False,"Interestingly enough , the effect of the digitalis glycosides is inhibited by a high concentration of potassium in the incubation medium and is enhanced by the absence of potassium ( Wolff , 1960 ) .",199,NN,absence.n.02,absence.n.02,absence.n.04,0.5775601832070574,0.21278570313792028,0.1611248763802313,0.44263537240257217,0.2715824024717158,1,0,0.1575664429148867,0.2842805669296674,1.0,0.33696298441157796,0.31077892123527356,0.31077892123527356,0.8344657279203184,0.715489277308588,1.0,False
40676,brown1/tagfiles/br-j06.xml_38,16,absorbed,absorb.v.04,The light was filtered by the soft glass window of the thermostat thus ensuring that only light,by the chlorine and not by the carbon tetrachloride could enter the reaction cell .,False,The light was filtered by the soft glass window of the thermostat thus ensuring that only light absorbed by the chlorine and not by the carbon tetrachloride could enter the reaction cell .,188,NNS,absorb.v.01,absorb.v.02,absorbed.s.02,0.15796549957996323,0.12225657018057082,0.11629110551060756,0.2751337364924619,0.348506332956487,3,0,0.2765032528804733,0.2613505141965389,0.6968179006145533,0.11140253172375394,0.32114016316799376,0.3513135436099048,0.6552751624918448,0.5693806191883308,0.09261628792420042,False
40142,brown1/tagfiles/br-j06.xml_1,21,absorbed,absorb.v.05,The photochemical exchange occurs with a quantum yield of the order of unity in the liquid phase at 65 ` using light,only by the * * f .,False,The photochemical exchange occurs with a quantum yield of the order of unity in the liquid phase at 65 ` using light absorbed only by the * * f .,145,NNS,absorb.v.09,absorb.v.02,absorbed.s.02,0.15796549957996323,0.12225657018057082,0.11629110551060756,0.2751337364924619,0.348506332956487,4,1,0.10299713952824018,0.21676121685110625,0.6968179006145533,0.1681692723057142,0.23869056058899224,0.2654370640781763,0.554120958791606,0.6553938735854676,0.09261628792420042,False
40141,brown1/tagfiles/br-j06.xml_1,21,absorbed,absorb.v.06,The photochemical exchange occurs with a quantum yield of the order of unity in the liquid phase at 65 ` using light,only by the * * f .,False,The photochemical exchange occurs with a quantum yield of the order of unity in the liquid phase at 65 ` using light absorbed only by the * * f .,145,NNS,absorb.v.03,absorb.v.02,absorbed.s.02,0.15796549957996323,0.12225657018057082,0.11629110551060756,0.2751337364924619,0.348506332956487,5,1,0.10299713952824018,0.21676121685110625,0.6968179006145533,0.23230408182609694,0.23869056058899224,0.2654370640781763,0.6628583807000734,0.5169126249064246,0.09261628792420042,False
10136,brown1/tagfiles/br-c01.xml_53,0,Abstractions,abstraction.n.02,,and semi abstractions by Everett McNear are being exhibited by the University gallery of Notre Dame until Nov. 5 .,False,nan Abstractions and semi abstractions by Everett McNear are being exhibited by the University gallery of Notre Dame until Nov. 5 .,131,NNS,abstraction.n.02,abstraction.n.02,abstraction.n.06,0.19976529982091573,0.09865029307375758,0.029778520654545036,0.22157996099604424,0.25884875190907247,1,2,0.23805989688818047,0.12349212099978968,0.3842613321590705,0.10740300102738932,0.28866729195265206,0.3327271980725135,0.8707634843144716,0.5688624375396952,0.7335032562675206,False
12530,brown1/tagfiles/br-c04.xml_67,15,deep,abstruse.s.01,"As for the ladies , they were full of charm , and sincerity , and","and abiding affection for this hurrying driving , honest , little man .",False,"As for the ladies , they were full of charm , and sincerity , and deep and abiding affection for this hurrying driving , honest , little man .",142,NN,deep.a.01,trench.n.02,deep.r.03,0.22257332642009248,0.19142018118171436,,0.32693349832232643,0.19051403955043436,16,1,0.7490336331234165,0.8274303508904337,0.050428838427575624,0.19018957127263728,0.8108064373985562,0.27571060463724323,0.8257575733277803,0.8324032323894328,1.0,False
