,sentence_id,target_index,target_word,synset,context_before,context_after,synset_is_correct,full_sentence,len_sentence,target_word_pos,baseline_random,baseline_first,baseline_last,synonym_similarity,hypernym_similarity,hyponym_similarity,most_common_def_similarity,less_common_def_similarity,f0_synset_frequency,f1_overlapping_words,f2_synset_and_context_after,f3_synset_and_context_before,f4_synset_and_target_similarity,f5_target_and_synset_definition,f6_synset_and_sentence_similarity,f7_target_word_and_sentence_similarity,f8_synset_example_and_sentence_similarity,f9_synset_definition_and_sentence_similarity,f10_lesk_pred_and_target_similarity,model_pred
14268,brown1/tagfiles/br-d02.xml_4,12,abandoned,abandon.v.04,When we say that a mythological mode of thought must be completely,", we mean it must be abandoned as the sole or proper means for presenting the Christian understanding of existence .",True,"When we say that a mythological mode of thought must be completely abandoned , we mean it must be abandoned as the sole or proper means for presenting the Christian understanding of existence .",193,VBN,abandon.v.01,abandon.v.02,abandoned.s.02,0.42844878000169084,0.06349172886833793,0.11162563896991112,0.2607307757359888,0.02468875855953451,3,2,0.2380289247608409,0.20224586306189724,0.5525904308967691,0.13048212308686,0.26553130989967577,0.2744966151757082,0.763768922756092,0.7288858468414255,0.5525904308967691,False
11121,brown1/tagfiles/br-c02.xml_29,19,took,accept.v.02,The crowd staged its own mad scene in salvos of cheers and applause and finally a standing ovation as Miss Sutherland,curtain call after curtain call following a fantastic `` Mad Scene '' created on her own and with the help of the composer and the other performers .,True,The crowd staged its own mad scene in salvos of cheers and applause and finally a standing ovation as Miss Sutherland took curtain call after curtain call following a fantastic `` Mad Scene '' created on her own and with the help of the composer and the other performers .,272,VBD,take.v.06,take.v.02,contract.v.04,0.09565630646654248,0.06426497796729623,0.0472493141984829,0.25067833812327267,0.1610304656311246,10,0,0.20702532665267204,0.19505391061860197,0.1392400674225605,0.28316716199728564,0.21407104977848282,0.30520980366878003,0.7066791797383004,0.39789494044010976,0.6650051620196056,False
14583,brown1/tagfiles/br-d02.xml_20,30,take,accept.v.02,"To be sure , when this is pointed out , a common response among certain churchmen is to fulminate about `` the little flock '' and `` the great crowd '' and to",solace from Paul 's castigation of the `` wisdom of the wise '' in the opening chapter of First Corinthians .,True,"To be sure , when this is pointed out , a common response among certain churchmen is to fulminate about `` the little flock '' and `` the great crowd '' and to take solace from Paul 's castigation of the `` wisdom of the wise '' in the opening chapter of First Corinthians .",274,VB,take.v.09,take.n.02,contract.v.04,0.20691458249165023,0.15860694774597645,0.09923113411968289,0.2195727634331204,0.20272917136260607,12,0,0.1483500909542659,0.19380337060257455,0.40297590564093644,0.4149995837610826,0.1917330613438735,0.2162232206234416,0.6359924827961122,0.3271264212337151,0.27015362845930607,False
5709,brown1/tagfiles/br-a14.xml_39,21,recognized,accredit.v.01,"A big-league municipal stadium at Flushing Meadow Park is in the works , and once the lease is signed the local club will be formally",by Commissioner Ford C. Frick .,True,"A big-league municipal stadium at Flushing Meadow Park is in the works , and once the lease is signed the local club will be formally recognized by Commissioner Ford C. Frick .",176,VBN,recognize.v.02,recognize.v.02,recognized.s.02,0.1752952109700013,0.09894073111536938,0.11093882210067423,0.13988181497253754,0.23661997329928294,4,0,0.9462091510708435,0.46142936258933476,-0.035913281376092246,0.14238082631580348,0.6579553624920907,0.18010334295354474,0.632824322807552,0.5821972503350464,0.45133312485443605,False
7164,brown1/tagfiles/br-a15.xml_79,41,reached,achieve.v.01,"The two top talents of the time , Mickey Mantle and Willie Mays , have hit the ball harder and more successfully so far this early season than at any period in careers which , to be frank about it , never have quite",expectations .,True,"The two top talents of the time , Mickey Mantle and Willie Mays , have hit the ball harder and more successfully so far this early season than at any period in careers which , to be frank about it , never have quite reached expectations .",238,VBN,pass.v.05,reach.v.02,strive.v.02,0.12368145705293775,0.1487066599016794,0.07538582020662957,0.2396625910352801,0.11913054673127722,4,1,0.1789594640383755,0.21698688210152095,0.26131087106202905,0.12686493621649297,0.2301609393152329,0.2172282825022699,0.4376179501979475,0.6480307388871354,0.6717745269746505,False
5583,brown1/tagfiles/br-a14.xml_27,3,recognized,acknowledge.v.04,Graham will be,for his meritorious service to baseball and will get the William J. Slocum Memorial Award .,True,Graham will be recognized for his meritorious service to baseball and will get the William J. Slocum Memorial Award .,117,VBN,accredit.v.01,recognize.v.02,recognized.s.02,0.1752952109700013,0.09894073111536938,0.11093882210067423,0.13988181497253754,0.23661997329928294,6,1,0.2292908599516573,0.08423076308451496,0.45133312485443605,0.10552383447730088,0.26975520578191625,0.22136948848189872,0.5603656838148775,0.7565230839079019,0.45133312485443605,False
40083,brown1/tagfiles/br-j05.xml_82,35,gained,acquire.v.05,"Upon consideration of the variety of soils and fabrics normally encountered in the washing process , it is little wonder that the use of a number of detergent constituents having `` synergistic '' properties has",widespread acceptance .,True,"Upon consideration of the variety of soils and fabrics normally encountered in the washing process , it is little wonder that the use of a number of detergent constituents having `` synergistic '' properties has gained widespread acceptance .",242,VBN,reach.v.01,acquire.v.05,gain.v.09,0.15404208205230713,0.16599692308959563,0.08145340315906786,0.250688880420817,0.1272024205470645,1,0,0.020410114542366603,0.10883493799414902,0.25802366857922954,0.14905941781970322,0.11654475607373414,0.24153380553682452,0.7699945574087886,0.4423610790853777,0.16998690665628619,False
19752,brown1/tagfiles/br-e02.xml_83,18,add,add.v.01,"A salad with greens and tomato is a popular and wonderfully healthful addition to a meal , but",an avocado and you have something really special .,True,"A salad with greens and tomato is a popular and wonderfully healthful addition to a meal , but add an avocado and you have something really special .",149,VB,lend.v.01,add.v.01,add.v.06,0.1396024363202917,0.16349067350618546,0.11486681419038565,0.04430143018679576,0.3408318319960693,1,3,0.25498470285216035,0.18220967749476588,1.0,0.39729044568302735,0.2943465835616896,0.2943465835616896,0.7694630227042101,0.8011141463848744,1.0,False
2838,brown1/tagfiles/br-a11.xml_58,10,added,add.v.02,"`` But they shouldda brought in Tokyo , too '' ,",Old Scrapiron .,True,"`` But they shouldda brought in Tokyo , too '' , added Old Scrapiron .",70,VBD,add.v.04,add.v.02,add.v.06,0.11672433903426328,0.10603595833087696,0.05498866662862745,0.2492103817709711,0.2852965090916546,1,0,0.01694942622775872,0.12476684610203978,0.4571079148755106,0.27485937381219444,0.14957604485594653,0.2476293237171507,0.8416490101869128,0.37681182900144355,0.21199176958842414,False
44922,brown1/tagfiles/br-j10.xml_3,2,add,add.v.02,I must,"at once that these animals are what we call `` queens '' , young females that have mated in the previous summer or autumn .",True,"I must add at once that these animals are what we call `` queens '' , young females that have mated in the previous summer or autumn .",134,VB,add.v.04,add.v.01,add.v.06,0.1396024363202917,0.16349067350618546,0.11486681419038565,0.04430143018679576,0.3408318319960693,2,1,0.19251785787337844,0.05105844533911635,1.0,0.2903065034591234,0.2665567854059779,0.2665567854059779,0.6278057806489402,0.6112814140936841,1.0,False
249,brown1/tagfiles/br-a01.xml_21,8,added,add.v.02,"The jury did not elaborate , but it",that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .,True,"The jury did not elaborate , but it added that `` there should be periodic surveillance of the pricing practices of the concessionaires for the purpose of keeping the prices reasonable '' .",189,VBD,total.v.02,add.v.02,add.v.06,0.11672433903426328,0.10603595833087696,0.05498866662862745,0.2492103817709711,0.2852965090916546,1,0,0.16201518472325374,0.1869213336146347,0.4571079148755106,0.27485937381219444,0.20524589171988764,0.3362181215157457,0.7494580067408115,0.5870059122670982,0.21199176958842414,False
40425,brown1/tagfiles/br-j06.xml_20,5,admitted,admit.v.03,Previously purified chlorine was subsequently,and the exchange was allowed to take place .,True,Previously purified chlorine was subsequently admitted and the exchange was allowed to take place .,99,VBN,accept.v.05,admit.v.02,admit.v.08,0.10292383844012713,0.09516544973297865,0.06433065828713844,0.199074906992499,0.04837394638330669,2,3,0.22922118813349876,0.13895917068678365,0.5956946390728644,0.05149371805692866,0.31250113934491996,0.39679079263023515,0.629644792881093,0.7671761248384678,0.5956946390728644,False
2502,brown1/tagfiles/br-a11.xml_33,15,advised,advise.v.02,The flavor of Baltimore 's Florida Grapefruit League news ripened considerably late today when the Orioles were,that Ron Hansen has fulfilled his obligations under the Army 's military training program and is ready for belated spring training .,True,The flavor of Baltimore 's Florida Grapefruit League news ripened considerably late today when the Orioles were advised that Ron Hansen has fulfilled his obligations under the Army 's military training program and is ready for belated spring training .,252,VBN,advise.v.02,advise.v.02,advised.s.02,0.28028842909936164,0.2004846531154393,0.1473909020315007,0.32072512830278044,0.25595196026852834,1,1,0.1860897460153382,0.11703261253996837,0.7075941953367014,0.24698304357877507,0.20515721945339843,0.21353539358246135,0.6489654494394257,0.7378998225872825,0.09979220723622231,False
32015,brown1/tagfiles/br-g11.xml_61,22,understanding,agreement.n.01,"We are forced , in our behavior towards others , to adopt empirically successful patterns in toto because we have such a minimal",of their essential elements .,False,"We are forced , in our behavior towards others , to adopt empirically successful patterns in toto because we have such a minimal understanding of their essential elements .",172,VBG,agreement.n.01,agreement.n.01,understanding.s.01,0.31027643117792636,0.25329138807595797,0.21747661414333627,0.3868262559218357,0.6026558973164914,1,1,0.06333257347866882,0.09260507155861916,0.3002201007516409,0.22564809117486231,0.11102989330431479,0.406156643978813,0.7307932207468103,0.7426593168040551,0.6188539615560307,True
5778,brown1/tagfiles/br-a14.xml_53,4,leading,ahead.s.01,"Palmer , golf 's","money winner in 1960 , and Snead will be saluted as the winning team in the Canada Cup matches last June in Dublin .",True,"Palmer , golf 's leading money winner in 1960 , and Snead will be saluted as the winning team in the Canada Cup matches last June in Dublin .",141,VBG,lead.v.05,leadership.n.01,ahead.s.01,0.175368024208598,0.09141191266741511,0.08241496558850238,0.15650287401156515,0.47042010974856513,19,3,0.31773665331026446,0.09587368413688374,0.2038609414612234,0.47042010974856513,0.2922562537625858,0.2795541244789419,0.698988605717971,0.7485940617165197,0.09823587489982856,False
27441,brown1/tagfiles/br-f10.xml_96,1,say,allege.v.01,Authorities,that oldsters are a prime target .,True,Authorities say that oldsters are a prime target .,50,VB,say.v.08,state.v.01,say.v.11,0.273484359416943,0.190363853966308,0.14522707433471363,0.36858688727159694,0.3887278818260488,2,0,0.11867407332111278,0.23678679044081327,0.46468314468397287,0.2659173691829443,0.26276545439327853,0.502621307250521,0.6963557388953234,0.40676351772976066,0.4614834851250673,False
216,brown1/tagfiles/br-a01.xml_18,2,said,allege.v.01,The jury,"it found the court `` has incorporated into its operating procedures the recommendations '' of two previous grand juries , the Atlanta Bar Association and an interim citizens committee .",True,"The jury said it found the court `` has incorporated into its operating procedures the recommendations '' of two previous grand juries , the Atlanta Bar Association and an interim citizens committee .",200,VBD,say.v.10,allege.v.01,aforesaid.s.01,0.15714012393605178,0.09689034995606784,0.07110849867546482,0.18254516585143968,0.28991312763198696,1,0,0.20839573903489197,0.17744627075891603,0.28492422739821266,0.16514303006873346,0.22877947261131842,0.3005259201102685,0.7841089079773987,0.4416325994598289,-0.09037283532599628,False
7050,brown1/tagfiles/br-a15.xml_71,7,said,allege.v.01,"Larry Scherer last night pitched a no-hit game ,","to be the first in Billiken baseball history , as the Blue and White beat Southeast Missouri State College , 5 - 1 , at Crystal City .",True,"Larry Scherer last night pitched a no-hit game , said to be the first in Billiken baseball history , as the Blue and White beat Southeast Missouri State College , 5 - 1 , at Crystal City .",188,VBD,allege.v.01,allege.v.01,aforesaid.s.01,0.15714012393605178,0.09689034995606784,0.07110849867546482,0.18254516585143968,0.28991312763198696,1,0,0.1382751776106339,0.12836075227369567,0.28492422739821266,0.16514303006873346,0.15458892606474312,0.19757378158722536,0.7294711626117226,0.35334842407304085,0.0505292994944715,False
48295,brown1/tagfiles/br-j13.xml_10,21,reserving,allow.v.04,"Such classifications may be called `` somewhat advanced '' or `` somewhat delayed '' , as the case may be ,",`` moderate '' for dots upon or close to the mean .,False,"Such classifications may be called `` somewhat advanced '' or `` somewhat delayed '' , as the case may be , reserving `` moderate '' for dots upon or close to the mean .",169,VBG,allow.v.04,allow.v.04,reserve.v.04,0.20216090879883722,0.17904873097793,0.12499801331509418,0.366605099172672,0.37460259254573597,1,2,0.2963955348162839,0.29941994503475095,0.21007989544288339,0.3018354626442572,0.31705806899591277,0.2986856874180124,0.6889658832776951,0.8440754217765905,0.4067776519952783,True
