sentence_id,target_index,target_word,synset,synset_is_correct,context_before,context_after
brown1/tagfiles/br-a01.xml_0,2,said,state.v.01,The Fulton County Grand Jury,Friday an investigation of Atlanta 's recent primary election produced `` no evidence '' that any irregularities took place .,True
brown1/tagfiles/br-a01.xml_0,2,said,say.v.11,The Fulton County Grand Jury,Friday an investigation of Atlanta 's recent primary election produced `` no evidence '' that any irregularities took place .,False
brown1/tagfiles/br-a01.xml_0,2,said,order.v.01,The Fulton County Grand Jury,Friday an investigation of Atlanta 's recent primary election produced `` no evidence '' that any irregularities took place .,False
brown1/tagfiles/br-a01.xml_0,11,produced,produce.v.04,The Fulton County Grand Jury said Friday an investigation of Atlanta 's recent primary election,`` no evidence '' that any irregularities took place .,True
brown1/tagfiles/br-a01.xml_0,11,produced,produce.v.01,The Fulton County Grand Jury said Friday an investigation of Atlanta 's recent primary election,`` no evidence '' that any irregularities took place .,False
brown1/tagfiles/br-a01.xml_0,11,produced,grow.v.08,The Fulton County Grand Jury said Friday an investigation of Atlanta 's recent primary election,`` no evidence '' that any irregularities took place .,False
brown1/tagfiles/br-a01.xml_0,14,evidence,evidence.n.01,The Fulton County Grand Jury said Friday an investigation of Atlanta 's recent primary election produced `` no,'' that any irregularities took place .,True
brown1/tagfiles/br-a01.xml_0,14,evidence,evidence.n.03,The Fulton County Grand Jury said Friday an investigation of Atlanta 's recent primary election produced `` no,'' that any irregularities took place .,False
brown1/tagfiles/br-a01.xml_0,14,evidence,evidence.n.02,The Fulton County Grand Jury said Friday an investigation of Atlanta 's recent primary election produced `` no,'' that any irregularities took place .,False
brown1/tagfiles/br-a01.xml_1,2,further,far.r.02,The jury,"said in term end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .",True
brown1/tagfiles/br-a01.xml_1,2,further,far.r.04,The jury,"said in term end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .",False
brown1/tagfiles/br-a01.xml_1,2,further,further.r.02,The jury,"said in term end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .",False
brown1/tagfiles/br-a01.xml_1,5,term,term.n.02,The jury further said in,"end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .",True
brown1/tagfiles/br-a01.xml_1,5,term,condition.n.07,The jury further said in,"end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .",False
brown1/tagfiles/br-a01.xml_1,5,term,term.n.05,The jury further said in,"end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .",False
brown1/tagfiles/br-a01.xml_1,6,end,end.n.02,The jury further said in term,"presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .",True
brown1/tagfiles/br-a01.xml_1,6,end,end.n.09,The jury further said in term,"presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .",False
brown1/tagfiles/br-a01.xml_1,6,end,end.n.03,The jury further said in term,"presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .",False
brown1/tagfiles/br-a01.xml_1,15,charge,mission.n.03,"The jury further said in term end presentments that the City Executive Committee , which had over-all","of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .",True
brown1/tagfiles/br-a01.xml_1,15,charge,charge.n.01,"The jury further said in term end presentments that the City Executive Committee , which had over-all","of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .",False
brown1/tagfiles/br-a01.xml_1,15,charge,charge.n.08,"The jury further said in term end presentments that the City Executive Committee , which had over-all","of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the election was conducted .",False
brown1/tagfiles/br-a01.xml_1,36,election,election.n.01,"The jury further said in term end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the",was conducted .,True
brown1/tagfiles/br-a01.xml_1,36,election,election.n.03,"The jury further said in term end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the",was conducted .,False
brown1/tagfiles/br-a01.xml_1,36,election,election.n.02,"The jury further said in term end presentments that the City Executive Committee , which had over-all charge of the election , `` deserves the praise and thanks of the City of Atlanta '' for the manner in which the",was conducted .,False
brown1/tagfiles/br-a01.xml_2,7,charged,appoint.v.02,The September October term jury had been,by Fulton Superior Court Judge Durwood Pye to investigate reports of possible `` irregularities '' in the hard-fought primary which was won by Mayor-nominate Ivan Allen Jr. .,True
